Link,Name,Subtitle,Price,Sale Price
https://www.nike.com/t/revolution-7-womens-road-running-shoes-extra-wide-m4WCT6/FZ6829-100,Nike Revolution 7,Women's Road Running Shoes (Extra Wide),$70,$59.97
https://www.nike.com/t/jordan-3-retro-mcs-mens-baseball-cleats-1CpQJb/FZ8627-001,Jordan 3 Retro MCS,Men's Baseball Cleats,$190,$142.97
https://www.nike.com/t/team-hustle-d-11-baby-toddler-shoes-8hlTTJ/DV8995-400,Nike Team Hustle D 11,Baby/Toddler Shoes,$50,$38.97
https://www.nike.com/t/jr-phantom-luna-2-academy-little-big-kids-mg-soccer-cleats-nLpHdL/FJ2603-100,Nike Jr. Phantom Luna 2 Academy,Little/Big Kids' MG Soccer Cleats,$72,$44.97
https://www.nike.com/t/air-max-97-big-kids-shoes-tLQrln/918890-001,Nike Air Max 97,Big Kids' Shoes,$160,$120.97
https://www.nike.com/t/air-max-nuaxis-womens-shoes-0mH3DF/HF1233-105,Nike Air Max Nuaxis,Women's Shoes,$85,$72.97
https://www.nike.com/t/jr-phantom-gx-2-academy-little-big-kids-mg-low-top-soccer-cleats-lMxlkR/FD6722-400,Nike Jr. Phantom GX 2 Academy,Little/Big Kids' MG Low-Top Soccer Cleats,$65,$55.97
https://www.nike.com/t/air-pegasus-2005-womens-shoes-MepvcEki/HJ7310-025,Nike Air Pegasus 2005,Women's Shoes,$150,$127.97
https://www.nike.com/t/air-penny-2-x-stüssy-mens-shoes-Njttgc/DQ5674-001,Nike Air Penny 2 x Stüssy,Men's Shoes,$200,$150.97
https://www.nike.com/t/sb-vertebrae-mens-shoes-BnRw3l/FD4691-002,Nike SB Vertebrae,Men's Shoes,$85,$67.97
https://www.nike.com/t/nocta-zoom-drive-mens-shoes-tLpC8l/DX5854-001,NOCTA Zoom Drive,Men's Shoes,$165,$123.97
https://www.nike.com/t/icon-classic-womens-sandals-c4bCfN/DH0224-301,Nike Icon Classic,Women's Sandals,$65,$55.97
https://www.nike.com/t/lunar-roam-mens-shoes-tG5Tgj/HF4901-100,Nike Lunar Roam,Men's Shoes,$150,$105.97
https://www.nike.com/t/ultrafly-womens-trail-racing-shoes-tCnn3F/DZ0489-600,Nike Ultrafly,Women's Trail Racing Shoes,$260,$221.97
https://www.nike.com/t/swoosh-1-baby-toddler-shoes-7EHiED9e/FB3244-002,Nike Swoosh 1,Baby/Toddler Shoes,$62,$52.97
https://www.nike.com/t/zoom-gp-challenge-1-premium-womens-hard-court-tennis-shoes-XcFWb2/FQ7263-500,Nike Zoom GP Challenge 1 Premium,Women's Hard Court Tennis Shoes,$170,$144.97
https://www.nike.com/t/p-6000-womens-shoes-SGxVgg/HJ7361-133,Nike P-6000,Women's Shoes,$110,$93.97
https://www.nike.com/t/blazer-low-77-big-kids-shoes-n2Bf0L/DA4074-101,Nike Blazer Low '77,Big Kids' Shoes,$70,$59.97
https://www.nike.com/t/usa-calm-mens-slides-DDlj42/FV5601-100,USA Calm,Men's Slides,$55,$41.97
https://www.nike.com/t/alpha-menace-4-shark-nrg-football-cleats-2vvWtd/FQ4536-600,Nike Alpha Menace 4 Shark NRG,Football Cleats,$60,$52.97
https://www.nike.com/t/hyperdiamond-4-keystone-gg-big-kids-softball-cleats-z1R2gL/CZ5919-007,Nike Hyperdiamond 4 Keystone GG,Big Kids' Softball Cleats,$32,$27.97
https://www.nike.com/t/jordan-stadium-90-womens-shoes-veYnjGZp/FB2269-121,Jordan Stadium 90,Women's Shoes,$120,$96.97
https://www.nike.com/t/hyperdiamond-4-keystone-womens-softball-cleats-kco3NKD0/CZ5918-007,Nike Hyperdiamond 4 Keystone,Women's Softball Cleats,$45,$33.97
https://www.nike.com/t/alabama-air-max-solo-mens-shoes-8TTK9B/FZ4832-001,Alabama Nike Air Max Solo,Men's Shoes,$110,$89.97
https://www.nike.com/t/air-penny-2-qs-mens-shoes-7CmVtz/FN4438-400,Nike Air Penny 2 QS,Men's Shoes,$200,$120.97
https://www.nike.com/t/air-max-dn-baby-toddler-shoes-xo37yMV4/FN4452-001,Nike Air Max Dn,Baby/Toddler Shoes,$90,$76.97
https://www.nike.com/t/air-max-isla-womens-sandals-TSzfGq/FJ5929-002,Nike Air Max Isla,Women's Sandals,$100,$71.97
https://www.nike.com/t/blazer-low-77-jumbo-womens-shoes-iH8PCGpG/DQ1470-101,Nike Blazer Low '77 Jumbo,Women's Shoes,$100,$74.97
https://www.nike.com/t/blazer-mid-77-premium-mens-shoes-nw30B2/FN5822-100,Nike Blazer Mid '77 Premium,Men's Shoes,$110,$76.97
https://www.nike.com/t/free-metcon-6-womens-workout-shoes-it1061Qv/FJ7126-602,Nike Free Metcon 6,Women's Workout Shoes,$120,$102.97
https://www.nike.com/t/griffey-2-mcs-mens-baseball-cleats-LP1J0F/HF1579-002,Nike Griffey 2 MCS,Men's Baseball Cleats,$140,$119.97
https://www.nike.com/t/jordan-1-low-alt-baby-toddler-shoes-1qt7FK/DR9747-060,Jordan 1 Low Alt,Baby/Toddler Shoes,$60,$45.97
https://www.nike.com/t/air-force-1-low-retro-premium-mens-shoes-KLSWzR/AO1635-100,Nike Air Force 1 Low Retro Premium,Men's Shoes,$150,$112.97
https://www.nike.com/t/jordan-1-baby-crib-bootie-99h4L0ay/AT3745-071,Jordan 1,Baby Crib Bootie,$70,$49.97
https://www.nike.com/t/alpha-huarache-elite-4-turf-womens-softball-shoes-253w2V/FD2746-002,Nike Alpha Huarache Elite 4 Turf,Women's Softball Shoes,$85,$73.97
https://www.nike.com/t/flex-runner-3-baby-toddler-shoes-GTMW5qSE/FN1478-002,Nike Flex Runner 3,Baby/Toddler Shoes,$45,$31.97
https://www.nike.com/t/alpha-menace-4-shark-travis-kelce-big-kids-football-cleats-zgQlvf/HF5454-001,"Nike Alpha Menace 4 Shark ""Travis Kelce""",Big Kids' Football Cleats,$55,$34.97
https://www.nike.com/t/court-borough-mid-2-baby-toddler-shoes-K2VTMK/CD7784-100,Nike Court Borough Mid 2,Baby/Toddler Shoes,$57,$45.97
https://www.nike.com/t/tennessee-air-max-solo-mens-shoes-BWwVDD/FZ4841-001,Tennessee Nike Air Max Solo,Men's Shoes,$110,$89.97
https://www.nike.com/t/jordan-adg-5-golf-shoes-wide-uDn0BKEF/FQ7874-100,Jordan ADG 5,Golf Shoes (Wide),$195,$136.97
https://www.nike.com/t/air-max-tw-big-kids-shoes-mQZkTb/DQ0296-001,Nike Air Max TW,Big Kids' Shoes,$130,$70.97
https://www.nike.com/t/infinityrn-4-womens-road-running-shoes-k1GRZP/DR2670-003,Nike InfinityRN 4,Women's Road Running Shoes,$160,$120.97
https://www.nike.com/t/air-force-1-07-mens-shoes-XVPIszaq/FZ4034-716,Nike Air Force 1 '07,Men's Shoes,$125,$74.97
https://www.nike.com/t/victory-tour-3-golf-shoes-QFj2ws04/FQ8302-300,Nike Victory Tour 3,Golf Shoes,$210,$136.97
https://www.nike.com/t/nikecourt-air-zoom-vapor-pro-2-premium-womens-hard-court-tennis-shoes-9N582w/FB7054-105,NikeCourt Air Zoom Vapor Pro 2 Premium,Women's Hard Court Tennis Shoes,$140,$105.97
https://www.nike.com/t/jr-tiempo-legend-10-club-little-big-kids-mg-low-top-soccer-cleats-hBrcbT/DV4352-601,Nike Jr. Tiempo Legend 10 Club,Little/Big Kids' MG Low-Top Soccer Cleats,$40,$34.97
https://www.nike.com/t/air-max-1-86-og-g-mens-golf-shoes-JZm9QM/DV1403-115,Nike Air Max 1 '86 OG G,Men's Golf Shoes,$160,$109.97
https://www.nike.com/t/giannis-immortality-4-little-kids-shoes-WgZchGRa/FZ6733-500,Giannis Immortality 4,Little Kids' Shoes,$67,$56.97
https://www.nike.com/t/diamond-elite-turf-mens-baseball-shoes-p4mz9D/FV6100-001,Nike Diamond Elite Turf,Men's Baseball Shoes,$120,$89.97
https://www.nike.com/t/air-max-1-easyon-baby-toddler-shoes-JXdHSC/DZ3309-104,Air Max 1 EasyOn,Baby/Toddler Shoes,$65,$55.97
https://www.nike.com/t/kd15-basketball-shoes-10P3rj/DC1975-500,KD15,Basketball Shoes,$150,$112.97
https://www.nike.com/t/offcourt-new-york-giants-slide-1xbMzS/DD0526-001,Nike Offcourt (NFL New York Giants),Slide,$40,$32.97
https://www.nike.com/t/jordan-23-7-baby-toddler-shoes-GCNqvf/DQ9294-030,Jordan 23/7,Baby/Toddler Shoes,$55,$41.97
https://www.nike.com/t/spark-womens-shoes-w4WdlF/DJ6945-003,Nike Spark,Women's Shoes,$135,$101.97
https://www.nike.com/t/air-max-bolt-big-kids-shoes-W87KDt/CW1626-200,Nike Air Max Bolt,Big Kids' Shoes,$85,$65.97
https://www.nike.com/t/pegasus-41-big-kids-road-running-shoes-fctJhk/FN5041-100,Nike Pegasus 41,Big Kids' Road Running Shoes,$105,$89.97
https://www.nike.com/t/offcourt-green-bay-packers-offcourt-slides-qMj1TL/FN4312-300,Nike Offcourt (Green Bay Packers),Offcourt Slides,$40,$34.97
https://www.nike.com/t/pegasus-plus-mens-road-running-shoes-GhSwLd/FQ7262-400,Nike Pegasus Plus,Men's Road Running Shoes,$180,$153.97
https://www.nike.com/t/zoomx-dragoy-xc-cross-country-spikes-gjBdMM/DX7992-001,Nike ZoomX Dragonfly XC,Cross-Country Spikes,$160,$120.97
https://www.nike.com/t/air-max-command-womens-shoes-xSHPfg/397690-018,Nike Air Max Command,Women's Shoes,$120,$100.97
https://www.nike.com/t/air-jordan-1-zoom-cmft-2-womens-shoes-FVQrmK/DV1305-600,Air Jordan 1 Zoom CMFT 2,Women's Shoes,$150,$105.97
https://www.nike.com/t/jordan-max-aura-6-womens-shoes-gXqQln/FQ7943-101,Jordan Max Aura 6,Women's Shoes,$130,$110.97
